node_pub,degree,total_capacity,pagerank,eigenvector,closeness,betweenness,clustering_coef,core_number,liquidity_density,bridge_score
02d76bd24afd87d3591b0f349ee2f3cef4e090f3fb0e7254988cbc060a75aed029,9,100000,2.469794732954807e-05,6.505484288289558e-17,0.21074602332464087,6.90177631718316e-05,0.2777777777777778,6,11111.111109876543,7.668640351573663e-06
0358838bbe40a022276ca9ce2116138049dde4a53dbe2c57077871f8cb93ed79a2,1,30000,1.1912345568301988e-05,8.685679639290278e-20,0.19531412584936889,0.0,0.0,1,29999.999969999997,0.0
03713775dbbc5d908f9a113be4b77b74fa64e3302a107ea40963ae81743d25fcd6,4,47000,1.174626029291505e-05,5.137796512569789e-19,0.19809313493151012,3.997876700584643e-06,0.0,4,11749.9999970625,9.994691748962935e-07
035ec1f8ea7d376385dfa7c92bd9a0c43e1c88a4058179c3a80ac68abc27dd2389,1,50000,1.330165582880892e-05,9.632155333429383e-19,0.19128470351712432,0.0,0.0,1,49999.99995,0.0
03a3c1fc0a489e2872a2afe8fa16c2714b5fe80d52d8c1ce8ecc4361a77391da82,13,700050,7.714314486534538e-05,4.843306387153697e-15,0.2303857394673403,7.06975921663346e-05,0.02564102564102564,6,53849.999995857695,5.438276320068947e-06
03aa6ace62590f2220a6d4d6852d0e49fb6e4d6835f4b6902ccb8215d5c0d73acc,4,40000,1.2088321486344758e-05,1.2282654191002526e-17,0.21016871841811183,2.760380030997737e-06,0.0,4,9999.9999975,6.900950075769105e-07
03badf671ac3fa8f2a67c273e2a1df09ebcd24651afb7def0dd933d63c805e1ba1,1,23333,9.910504575470473e-06,1.4097197451372452e-20,0.1742348432488556,0.0,0.0,1,23332.999976666997,0.0
03e269ffc7faa7b0d29f87e6547db29e540418885e45be44d88ef78ff8bc86e144,1,500000,7.003250342459892e-05,1.4476132732150461e-18,0.19531412584936889,0.0,0.0,1,499999.9995,0.0
0217868f504d0e2dca129a2d5e5385cdd3526c871286db96c4bf68f3c2a4d0d98b,3,160000,2.5248319484682802e-05,5.123744731175636e-19,0.1972211326275012,8.901008152399277e-07,0.3333333333333333,3,53333.33331555555,2.967002716477425e-07
0207197d1028b8a7edfee28f4e2dc47905333b2c4f9ed40bcd2c7481abe8fb049a,6,323456,5.206747195772476e-05,2.512714943054769e-13,0.24951246678050581,0.00013493265739972885,0.06666666666666667,4,53909.333324348445,2.248877622954001e-05
0358904498ccedeb79540808be26ae92725b6f4736750d92cab605f078a58934ce,2,40000,2.41730936070961e-05,4.716108494829116e-19,0.19927009199176599,2.680864072592047e-06,0.0,2,19999.99999,1.3404320356258074e-06
03c6822ca79ab4821092fb99a15357450327255af34ea08d5b2a8b725db532f0b3,1,20000,1.0675746464976522e-05,5.790453092860186e-20,0.19531412584936889,0.0,0.0,1,19999.999979999997,0.0
02ea3ef524232487efe18b16fe3948e38bdd51932d0c963736de90d9c55e407df4,1,50000,5.468365505550391e-05,3.922560697370096e-305,5.4686645521163735e-05,0.0,0.0,1,49999.99995,0.0
03f55ebbacc0fa4d537ac698e1247a36e63290d4c457fd85384d4706a9b218102f,1,50000,5.468365505550391e-05,3.922560697370096e-305,5.4686645521163735e-05,0.0,0.0,1,49999.99995,0.0
02177273c1bc7450ebb9b0385bd7225dd0388bb75d8372aab3ccb6527d0b1b87a3,1,2000,8.341324510142694e-06,2.4553507215958916e-18,0.20853830618148594,0.0,0.0,1,1999.9999979999998,0.0
03187dab1dd4bfa9b27eccf3ec853e4333921314d7f2adc52a79f1ec89120124f8,1,176000,2.1085602808426296e-05,1.0633466555700301e-19,0.1742348432488556,0.0,0.0,1,175999.999824,0.0
